문장,긍정 확률,star,result
내면 깊숙한 곳에서 할리퀸처럼 분노와 불만을 대신해줄 조커를 기다렸다 그런 그를 망상속에 심어 놓았다가 아서플렉의 나약한 민낯을 보고 차갑게 돌아설 뻔 했다 인간의 속을 뒤집어 까놓은 듯 부끄럽고 마주하기 싫은 진실에 도망가고 싶었다 그저 통쾌하고 악랄한 현실에서 내보일 수 없는 나의 악한 면을 대신해줄 조커만을 기다리고 있지 않았나 또 다시 반추하게 했다 음악과 영상미가 가득한 한 편의 영화로 철학책과 심리책을 대신해본다 가슴 한 편이 아리고 뇌 한쪽이 저리다 오늘은 많은 생각이 교차 될 듯 하다 ,0.9920670986175537,8,8.0
오프닝이 이 영화의 전반적인 내용을 담고 있는 것 같아서 인상 깊다 뮤지컬이라는 장르 자체가 호불호 갈릴 수는 있으나 스토리나 영상미 연출을 보면 정말 잘 만든 영화 같다 ,0.9917016625404358,9,9.0
기존 조커를 생각했다면 안됨 ,0.2610265910625458,8,2.0
좋은 작품 잘 보고갑니다 ,0.9799911975860596,10,10.0
잘봤습니다 잘봤습니다 ,0.9906693696975708,4,4.0
자아가 비대한 인셀들의 추앙에 기겁한 감독의 대응법 ,0.12865130603313446,7,1.0
쉬운 말도 어렵게 말하면 듣기 싫은 법 ,0.10931243747472763,6,1.0
전작을 거부한 최악의 후속작 ,0.011800880543887615,2,0.0
지루해서 언제 끝나나 기다렸습니다 ,0.008659105747938156,5,0.0
완벽한 편 하지만 현실에서도 아세 플렉이 좀 더 대단한 사람 히스레저의 조커가 되길 원한 조커의 지지자들이 많았다하지만 그저 범죄자는 찌질이 정신병자일뿐 미화 금지 ,0.7340905666351318,10,7.0
영화 잘봤습니다  ,0.955615758895874,7,7.0
기대했던 것과는 다른 작품이긴 하지만 많은 생각을 하게 만드는 작품이었습니다 끝 부분에 재판장에서 아서가 하는 말이 보는 저까지도 벙지게 만드네요 슬프긴 하지만 편과는 다른 느낌으로서 뮤지컬 영화로서 잘 봤습니다 ,0.9921518564224243,8,8.0
솔직히 이건 아니잖아 ,0.008485584519803524,1,0.0
조커의 적나라한 인생이 담긴 영화그게 인생이지 노래 깔리는 것까지 완벽했다노래 불러서 싫타는 인간들은 뮤지컬영화를 보면 안보면 되는거 아닌지 갠적으로 혹평인게 이해 안감 ,0.9915715456008911,10,10.0
편과는 너무 다른 전개였지만 조커 영화는 끝나고 나서도 알 수 없는 긴 여운을 남겨준다 마지막 장면에서 또 다른 조커가 탄생아서를 죽인 남자 자신의 입을 칼로 긋는 장면하는 걸 보며 누구나 조커가 될 수 있음을 깨달았다 아서 플렉이 조커는 없었다고 했으나 조커는 어디에나 있고 누구나 될 수 있다는 생각을 하게 해준 영화 ,0.9919031262397766,8,8.0
어떻게 히스레저가 되었는지 그걸 보여주나 싶었더만 노래만 존나게 부르네 하 뮤지컬 진짜 이래서 존나 싫음 존내 몰입 안되고 오토로 돌린거 마냥 이야기가 진행되는거 같아서  딱 그 꼬라지임 편의 그 긴장감과 지렸던 그런 느낌 전혀없음 ,0.0073316264897584915,1,0.0
컨디션 좋을때 봐야하는 예술영화 ,0.80661940574646,7,6.0
라라랜드병 걸린 조커 ,0.21155934035778046,1,0.0
아무리 겉을 조커로 치장해도 내면에는 나약한 아서만 있을뿐 ,0.029494458809494972,8,0.0
한명의 불완전한 정신병자를 노골적으로 보여준 영화 ,0.06019128859043121,6,0.0
조커 추종자들이 편의 나약한 조커에 실망해서 평점을 낮게줌 실제 영화네 ,0.7152231335639954,10,7.0
뮤지컬 영화를 별로 선호하지않아서 아쉬웠음그치만 연기는 굿 ,0.602502703666687,7,4.0
편보다 더 어두운 영화 ,0.012287480756640434,10,0.0
관람 완료 정신나갈것같아 ,0.03979639336466789,8,0.0
조커의 영화에 이런걸 바란건 아니였는데 ,0.20697848498821259,7,1.0
불안정한 세상에서 불완전한 이가 이윽고 깨지고 부서진다 ,0.8156869411468506,8,7.0
영화가 끝나고서 엔딩크레딧이 다 올라가기까지 자리에서 뜰수가 없었다 ,0.9488611221313477,10,9.0
대중은 안티 히어로가 사회 부조리를 드러내고 급기야 사회를 전복시키길 원하겠지만 그에겐 그만한 의지가 없다 그의 동기는 지극히 개인적이고 과정에 따르는 고통을 견뎌내기위한 가슴 속 구심점이 없기 때문이다 우리는 조커에게 드리운 그림자에 열광했지만 그 역시 사랑을 갈구하는 한 인간에 불과했다 ,0.9252980947494507,8,7.0
노래가 어색하다고 느껴지고잘 모르겠음 그냥 ,0.03505736216902733,6,0.0
완전한 빌런으로 성장하는 왕도물을 바랐던 화면 밖 추종자들은 영화 속 할리퀸과 추종자들처럼 알에서 깨어나 조커가 되지 못한 연약한 아서 플랙에게 썩은 토마토를 던지고 짓밟고 버리고 떠나갔다 하지만 최초의 조커는 죽고 아서플랙의 보고싶은 면만 보는 추종자들은 조커라는 사상을 만들어낸다  제목 그대로 폴리 아 되 감응성 정신병 배트맨이 조커를 완벽히 가둘 수도 슈퍼맨의 강력한 힘으로 조커를 죽일 수도 없다 모두가 조커가 될 수 있기 때문에 ,0.5432682037353516,8,4.0
이러니 저러니 해도 보다 별로인건 확실하다 ,0.008542978204786777,7,0.0
개인적으로 허무하게 끝난 것이 조커다웠다고 생각됨 ,0.42898300290107727,8,3.0
처음 봤을땐 의아했는데 다시 보니 아서 플렉의 이야기가 와닿게 느껴져서 좋았음 연기력은 말할 것도 없고 기대와는 달랐어도 괜찮게 봤음 ,0.9918527007102966,9,9.0
정말 였군 ,0.1514841914176941,8,1.0
편을 완성하는 편이란 이런 것 ,0.8821776509284973,10,9.0
스스로 만든 다른 인격을 본인은 부정함에도 듣지 않는 군중 결국 본체를 죽이고 이미지를 갈취하는 자 다음 조커 ,0.4752398729324341,7,3.0
조커는 없습니다 아서 플렉 ,0.522783637046814,6,3.0
조커뮤지컬 영화였던가 ,0.278486430644989,6,2.0
조커라는 정신병에 공감하고 빠져들게 하는 전작 사회적으로 공유된 정신병으로 조커가 입을 찢게 만든 본작 본질적으로 비어있는 듯 하지만 그 공허함을 통해 무의식적으로 공유된 정신병을 거리두게 하는 마치 인셉션의 그것과 같다 ,0.9016616344451904,8,7.0
조금 과한 뮤지컬적 요소만 제외한다면 저는 흐름이나 하고 싶은 말 자체는 나쁘지 않다고 생각합니다모든 것이 감독의 의도였음을 이해하지만 관객으로서 노래가 너무 많다고 생각해서 별 한 개는 뺐습니다 그래도 이게 그렇게 별 개 받을 만한 그 정도 구린 영화는 아니에요어디서 부터 어디까지가 환상이고 현실인지 구분이 안되도록 만든 장치들임을 이해합니다 ,0.6522103548049927,8,5.0
연탄재 함부로 발로 차지 마라 너는 누구에게 한 번이라도 뜨거운 사람이었느냐  안도현 너에게 묻는다 ,0.08458785712718964,8,1.0
처음의 모습과 같이 마지막의 모습까지 누구도 아서를 도와주거나 있는 그대로 봐주지 못한채 다시 쓰러진 아서에게서 멀어진다 ,0.35191822052001953,10,4.0
뮤지컬을 원한게 아니였어요 하지만 조커를 원하던 관객의 뒷통수를 친 감독이 대단한 도전정신에 박수를 그리고 호아킨 연기는 진짜 짱 ,0.9923644065856934,6,6.0
영화 말미 조커가 할리퀸에게 제발 노래 좀 그만하고 말로 해 라고 하는데 그게 딱 내 심정이었음 ,0.5812907218933105,4,2.0
번 봤는데 볼수록 잼있음 ,0.9920527935028076,8,8.0
잘 봤습니다 재밌어요 ,0.992506206035614,10,10.0
영화가 재미가 없는편입니다 ,0.007694081868976355,6,0.0
새로운 관점의 조커네요 ,0.9700472950935364,10,10.0
지금 영화를 본 사람들의 반응 자체가 조커로부터 원하는 이미지를 갈구하는 것처럼 느껴집니다 평점 때문에 영화보기를 망설이는 분이 있다면 꼭 보시고 경험해보시길 추천드립니다아서플렉이라는 사람 그 자체를 만날 수 있어서 좋았습니다 현재 만연한 폭력이 한 사람을 어떻게 만드는지 생각해보는 영화였습니다 ,0.9922925233840942,10,10.0
올드팝송 듣는재미로도 충분히 재밌었습니다 ,0.9920137524604797,8,8.0
점도 아깝다 모든 조커 그리고 아서플렉에 대한 모욕 의도한바를 떠나서 연출자체가 개병신 쓰레기급 ,0.007447312120348215,1,0.0
영화를 보고 나오는 관객들의 투덜거림마저 작품의 일부로 녹아들었다 노래가 좋았다 많은 생각을 하게 되는 영화조커 를 먼저 봐서 그럭저럭 괜찮았다 ,0.9924415349960327,8,8.0
상업보다는 예술영화같았지만 곱씹어볼수록 잘만든 영화인것 같음 ,0.9919030070304871,9,9.0
고통의 연속 그 안에 혼란스럽게 울려대는 노래소리 ,0.9735205769538879,8,8.0
조커 폴리아되 재밌네요 ,0.9918698072433472,6,6.0
고담시에 조커가 아닌 아서 플렉은 더 이상 필요 없어 ,0.7552690505981445,7,5.0
노래 좀 그만 불러다오오오 ,0.015602655708789825,4,0.0
마음에 드는 속편입니다 잘 봤어요 ,0.9922758936882019,7,7.0
조커  배트맨 을 연상하며 기대한 조커는 나오지않는다 원작처럼 사랑에 목 매는 되려 정신병걸린 할리퀸도 없다 이 작품은 오로지 아서플렉은 조커가 아니다 를 말하고 싶었던 듯 불행서사는 다 때려박으면서 불행함의 끝은 이렇다고 보여진거 같아 별로였다호아킨이나 가가의 연기나 시선처리는 잘했지만 로맨스영화를 연상시키는 노래는 아예 뺐어야 여러모로 아쉽다 ,0.029975363984704018,2,0.0
미치광이 조커를 기대하고 본다면 실망할 것이 영화는 아서를 만나는 시간임큰 파도가 치는 바다를 보여줄 것 같았지만 잔잔한 작은 호수만 보여주다 끝남 ,0.04251006245613098,2,0.0
호아킨의 연기는 미쳤다 가가의 노래가 영화를 불편하게 만들었을지언정  그의 아서플렉 연기는 깔수가 없는거다 ,0.6990973949432373,10,7.0
존잼인데 평점 뭐지 조커에서 호아킨 연기는 말할 것도 없고 레이디가가 연기도 좋았음 ,0.9146600365638733,9,8.0
누구에게도 인정받지 못하는 아서 플렉 ,0.12746043503284454,10,1.0
연기빼곤 별로 아트영화 그 자체 불호는 아니지만 호는 절대 아님 ,0.03003307618200779,6,0.0
연기빼고 그냥 노잼임 ,0.008763209916651249,4,0.0
솔직히 이점수대 수준의 영화는 아니라 생각함조커에서 아서 플렉이 되는과정을 긴장감 있게 잘표현했음 가가의 노래는 과하긴 함 ,0.4736827313899994,10,5.0
근래 헐리우드에서 보기힘든 굉장한영화였다 물론 호불호가 갈릴수있는것 편에서 내가이해한 아서플렉은 사실 굉장히 착한사람이엇다 흔히 우리가알고있는 조커라는 인물과는 괴리가 굉장히 크다는 생각이있엇다 따라서 오히려 조커가 되지못하는것이 너무나 자연스러운 전개가아니었나싶다 갑자기 할리퀸을만나서 희대의 악인이되버린다면 그거대로 인물의 평가가 잘못됫을거라생각한다 물론 조커가되지못해 내심 아쉬웠지만 계속 여운이남는 명작이될것같다 다만 중간중간 노래계속나온건 좀 내스타일이 아니긴햇음 ,0.7601960301399231,10,8.0
조커의 이야기가 아닌 아서플랙의 이야기 그래서 난 좋았다 ,0.9923507571220398,10,10.0
전작에서 보여준 호아킨 피닉스의 범죄행각이 이번편에서 할리 퀸가 함께 유쾌한과정으로 나타나길 바라셨던 분에게는 혹평을 들을수 밖에 없는 작품인거 같습니다 중간중간 나오는 조커와 할리퀸의 노래 그리고 기타등등 단역들도 합세하는가 대사를 하다가 갑자기 하는 느낌이 강해서 오히려 이게 조커가 아닌 아서 플렉의 내면에 대한 탐구를 목적으로 영화 감상의 목적을 바꿔서 보고 있어도 개연성이 없어서 오히려 영화에 대한 몰입도를 매우 떨어뜨립니다 그렇다고 노래의 퀄리티가 떨어지는건 아니지만 관객을 피로하게 만든다고 할까요 감독이 뭘 말할려고 하는지 모르겠는데 감독 의도에 대한 의문제기가 이게 감독이 의도한거다라고 하면 더이상 할말이 없지만요쿨찐모드는 요즘 영화감독들의 기본소양이 되어가는거 같아 아쉽네요 중간중간 아서에 대한 캐릭터에 대한 정보를 깊게는 아니어도 대략 알 수 있게 하는 영화였던거 같습니다 그리고 할리 퀸은 왜 있는지 이해가 안됩니다 영어문법의 부사처럼 없어도 무방했을거 같습니다 결론적으로 수작은 아니고 평작과 졸작 사이에서도 평작 바로 밑에 위치한 아슬아슬한 작품이었네요 그리고 뮤지컬 비율 생각보다 많지 않음 중에  정도 ,0.10000394284725189,7,1.0
영화 속 개리를 제외한 모두에게 버려진 아서플렉이 불쌍하다 ,0.27495327591896057,8,2.0
아 이동진땜에 점준거 아니라고오오  ,0.2773225009441376,8,2.0
재미 없는 영화다만 각 장면들의 디테일과 배우의 연기는 정말 대단했다정말 완성도가 높은 영화이면서도 관객들의 기대와 전혀 다르게 흘러가버린 영화 ,0.046935196965932846,10,0.0
편이랑 완전 딴 판스토리 보다는 감정을 호소한영회 내내 뮤지컬이라 불편했습니다 ,0.028422772884368896,3,0.0
뮤지컬 비율만 좀 낮췄더라면 ,0.05625287443399429,6,0.0
관객들도 조커를 원했을뿐 아서 플렉을 원하지 않았다 ,0.14575956761837006,10,1.0
제 스타일은 아니었습니다 ,0.028048647567629814,10,0.0
보는내내 이게 대체 뭐야노래는 왜이렇게 많이 불러내가 생각한 조커영화가 아닌데 란 생각을 하게 되면서 오히려 좋았다 그냥 범죄자임 끝 ,0.9915145635604858,8,8.0
이전의 조커와는 다른 뮤지컬 영화 좋아하면 괜찮을 듯 ,0.8627973794937134,8,7.0
마지막 결말정말 이게 최선이었나 ,0.8565777540206909,4,3.0
이젠 노래하기 싫어조커가 아닌 아서 플렉으로 사랑받고 싶은 아서 플렉의 한마디가 아닐까 싶은 명대사 조커를 열광하며 찾은 관람객에겐 어떨진 몰라도 나에겐 완벽한 한 편이였다 ,0.9921459555625916,9,9.0
편에서 카타르시스를 느끼기 위해 은근히 아서가 고통받길 원했던 사람들에게는 최악의 속편이 될 터 예고편 마케팅 사기를 치긴 했지만 조커라는 본연의 뜻에는 정말 적절한 작품 ,0.9314945936203003,9,8.0
최악이다 진짜 보지마세요 ,0.007159483153373003,1,0.0
노래 많은거 빼고는 나머지부분은 다 잘만듬 ,0.9804004430770874,10,10.0
폴리 조커가 되 진짜로 모르는놈이 조커가 되어버렸다  ,0.7481017112731934,8,6.0
조커 폴리 아 되 잘보고갑니다 ,0.9676151275634766,8,8.0
편보다는 다소 지루하지만 연기보는 재미가 있어요 ,0.986788272857666,8,8.0
사랑받고 싶었던 아서 플렉 모두에게 부정당한 채 조커의 망령에 쫓기다 ,0.6048529744148254,10,6.0
노래조커인건 알겠는데 연기속에 자연스럽게 스며들진 못한것 같아 아쉽네요 맞는말만 하는 캐릭터 덕분에 재밌게 봤어요 ,0.9906196594238281,9,9.0
감독이 흡연 영화를 만들더니 금연 영화도 만들고 싶었나보다 ,0.015897227451205254,4,0.0
아서와 조커가 폴리 아 되 하지 못한 이야기였네요 저는 그래서 좋았습니다 아무도 자신을 신경 쓰지 않는다고 영화 내내 비명을 지르기에 아서한테 신경 쓰며 봤더니 연민할 수 있었어요 ,0.9922603964805603,9,9.0
편 기대하고 보면 실망할 듯 ,0.03474309295415878,4,0.0
난 재밌게 봤는데 다른건 모르겠고 연기는 정말 잘하더라 둘 다 ,0.9923157691955566,8,8.0
월 ,0.4274561107158661,7,3.0
전편으로부터 이어진 각자의 공유된 망상으로 인해 누군가는 그의 행동을 살인이라 규정하고 누군가는 그를 위해 폭탄을 터트리고 도피시키며 누군가는 그가 계단을 내려가 이루었던 모습에 이별하며 반대로 올라가고 누군가는 날카로운 농담으로 그를 엄벌하는 과정에서 끊임없이 전편과 나의 공유된 망상에 관해 스스로 질문하게 만드는 영화 ,0.9335795640945435,9,8.0
감독의 메세지를 알고 나서 다시 되새기면서참 많은 생각이 든 영화 ,0.9919970631599426,10,10.0
잘 봤어요보다 못하지만 재밌게 봤습니다 ,0.9921758770942688,9,9.0
편보다는 별로지만 볼만은 하다 ,0.5852551460266113,7,4.0
펀 잘만들어놓고 편을 왜 이따위로 만든거야 ,0.009900352917611599,2,0.0
레이디가가 좋아하면 볼만함 ,0.6152930855751038,8,5.0
전작을 통해 세상을 향해 분노를 폭발시키는 조커에 환호하는 군중이 된 우리는 아서 플렉이 아닌 조커를 원했다아서가 조커를 포기할때 실망하여 법정을 떠나는 리와 군중들처럼 우리의 마음도 그들과 같았다우리는 아서의 고통은 안중에도 없었다다만 영화가 이런 목적을 달성하기에 뮤지컬형식이 적합했냐에 대해선 의문이 생긴다리라는 캐릭터도 일회성의 성격이 강하여 서사가 부족하다억지로 할리 퀸이라는 캐릭터를 녹여내려고 하다보니 생긴 부작용인듯 ,0.08642922341823578,7,1.0
연기 노래는 좋으나 노래가 필요이상으로 너무 나온다고 느꼈어요 ,0.3827817440032959,6,2.0
결말이 허무하다는건 알고봤는데 그냥 좀 그렇네요 ,0.0268093328922987,4,0.0
어둠 속의 댄서 이후 가장 독특한 뮤지컬 영화 ,0.9330353140830994,7,7.0
좋게 말하면 조커의 웰메이드 법정 뮤지컬 영화 안 좋게 말하면 기대를 배반하는 사족같은 속편 개인적으론 스토리 전개와 영화적 재미만 제외그것들이 중요하긴 하지만하면 오히려 전편보다 더 신선하고 놀라움 뮤지컬이 더 진했으면 했는데 기대보단 약함 ,0.5037153959274292,8,4.0
점짜리 영화는 아님 점은 좀 높은데 평점이 너무 낮아서 좀 높게줌점 준 애들은 화가 너무 많이 난듯 ,0.8470501899719238,9,8.0
에 비해 너무나도 아쉬움 진짜 너무 돈아까움 ,0.007817479781806469,1,0.0
최악의 망작영화 변명만 잔쯕 해놓은 망작이다 이럴거면 만들지 말지 개노잼 ,0.0067642321810126305,2,0.0
뮤지컬 장면을 넣은 것은 아무리봐도 마이너스 ,0.008362608961760998,5,0.0
의도도 뭔지 모르겠고 우리가 알던 조커를이렇게 까지 했어야 했나 ,0.16075673699378967,2,0.0
생각했던거보단 볼만했음 연출도 연기도 다만 늘어진다 ,0.18094469606876373,10,2.0
점 정도가 적당하다고 생각하지만 평점 테러가 너무 많아서 점 이영화는 대중의 혹평을 받음으로서 완성되었다 ,0.792677640914917,10,8.0
걍 보지마 조커란 이름이 아까움 ,0.019875850528478622,1,0.0
조커가 아니면 안 되 ,0.4028331935405731,6,2.0
보고 난 후 많은 생각을 하게하는 영화 ,0.9919273853302002,10,10.0
정의보다 정의로운 환상을 찾고 싶은 사람들 ,0.8819023966789246,8,7.0
예술 영화로 접근하면 수작 대중 영화로는 망작 근데 그 또한 감독이 의도한거라면 대단한거라고 생각한다 ,0.48909515142440796,10,5.0
조커와 할리퀸이 아닌 아서와 리이기에 납득이 가는 구성과 전개 ,0.8430188298225403,8,7.0
평점이 극명하게 갈리는 것 또한 이 영화의 의도이자 묘미다 정극과 뮤지컬을 구분짓지 말라고 아서플렉과 조커를 구분짓지 말라고 외치지만 듣지 않는다 ,0.8433153629302979,10,8.0
리 퀸젤이 아서 플렉에게 심어준 사랑이라는 환상그로 인해 점점 다시 피어오르는 아서 플렉의 망상하지만 그 모든 것이 허상이고 결국 아서 플렉이 직면한 건 절망적인 세상 ,0.811852753162384,9,7.0
감독님 의도는 알겠는데 영화 자체가 지루했음 의도를 살리면서 안 지루할 수는  없었을까  ,0.008932149037718773,6,0.0
사회 현상에 쫄은 감독의 치졸한 변명과 반성뿐인 망작 ,0.01977422460913658,2,0.0
베테랑 보다 낮을수는 없다 소외당한자를 소외시키는 것이 누구인가 하는 생각이 든다 ,0.7535150051116943,10,8.0
최고의 영화 호불호는 확실하지만 불호라고해서 이영화는 점일수가 없다 ,0.7958729863166809,10,8.0
