문장,긍정 확률,star,result
역시나 보길 잘 한 영화  번을 봐도 새롭게 다가오는 영화 ,0.9920217394828796,10,10.0
역시 재개봉하는데에는 이유가 있네요 ,0.9109066724777222,9,8.0
본능으로의 회귀 현실과 타협 불과 ,0.28951048851013184,10,3.0
잔잔 무난 마음이 아름다워지는영화 ,0.9920708537101746,8,8.0
완전굿입니다 다시보고 싶어요 ,0.9922812581062317,10,10.0
명불허전 로맨스 영화 제목이 왜 노트북일까 ,0.9204002618789673,10,9.0
추천합니다 정말로 굿굿 ,0.9925251007080078,10,10.0
다시봐도 감동있는 영화 거조해진 마음속을 간만에 다시 채워주네요 ,0.9920523166656494,9,9.0
감동적이고 재밋었어요 ,0.9920337796211243,10,10.0
역시 명불허전입니다 재개봉영화 추억추억 ,0.9920060038566589,10,10.0
다시금 누군가가 마음에 차오르게 만든 영화 ,0.9918146729469299,9,9.0
재밌어요  한 사람만 평생 사랑하는 마음이 너무 뭉클햇어요 ,0.9917746186256409,10,10.0
재미있습니다 ,0.9915112853050232,10,10.0
로맨스 최고의 영화입니다 ,0.991199791431427,10,10.0
라라랜드에 노아가 나오는군요 다시 봐도 재미있는 인생영화입니다 ,0.9920008182525635,10,10.0
괜찮게 봤어요 ,0.992485761642456,10,10.0
너무감동적인 영화였어요 아주오랜만에 울컥했네요 노아와 앨리만큼 사랑했으면좋겠어요 ,0.9916245341300964,9,9.0
누군가를 열렬히 사랑하고 사랑받는다는건정말 기쁘고 부러운 일이다 ,0.9924271702766418,9,9.0
다시봐도 명작이네요 재밌게 봤습니다 ,0.991904616355896,10,10.0
좋아요 강추합니다 두번보세요 ,0.9925025701522827,10,10.0
예전에 년 개봉때 못봐서 재개봉한다고 해서 반가웠는데 영화 예쁘고 좋았음 나이가 들수록 새롭게 느껴질 수 있는 영화인듯 ,0.9915874600410461,7,7.0
보세요오세요보세요응 ,0.7877307534217834,10,8.0
여자친구랑 같이봤는데 정말 좋았습니다  ,0.9920654892921448,10,10.0
강추입니다꼭보세요 ,0.9918832778930664,10,10.0
진짜 너무 재밋고 계속보게되요 ,0.9919407963752747,10,10.0
로맨틱한 내용으로 한번쯤 원없이 사랑해보고싶은 느낌이 드는 영화입니다 ,0.9918676018714905,10,10.0
꾸우우우우울잼입니다 ,0.42946624755859375,8,3.0
    힝 이 부분에서 울었어요 저렇게 말할수 있는 남자가 세상에 또 어딧을까요 ,0.9923388957977295,10,10.0
재밌는데 너무 옛날 영화 그리고 외국 소재라서 조금 현실감이 떨어지고 몰입하기에 부족한 점 뺐습니다 ,0.8687469959259033,8,7.0
상투적이었지만 나도 모르게 노아 정서에 공감되어가는 ,0.9355239868164062,8,7.0
다시봐도 추억돋는 ,0.9923703670501709,10,10.0
아재라차배라차미멐러갸즡 ,0.6677853465080261,10,7.0
오랜만에 설레고 눈물나게 잘 봤습니다 ,0.9918711185455322,8,8.0
좋은 사람과 좋은 영화를 보는건 정말 행복합니다 뒤에 재개봉하면 또 볼께요 ,0.9924944639205933,10,10.0
노트북 마지막 너무 슬펐다 감동을 주는 그리고 사랑이 무엇인지 일깨워주는 영화였다 영화관에서 보고 돈이 아깝게 느껴지지 않았던 그 날  이 댓글을 적으며 다시 떠오른다  ,0.9919865131378174,10,10.0
예비신랑과 보고왔는데 눈물콧물 서로 닦아주며 손 꼭 잡고 한동안 걸었다 명불허전 로맨스 영화 ,0.9921554923057556,10,10.0
굳굳 최고의 영화라 단언합니다 ,0.9924800395965576,10,10.0
너무나 아름다운 레이첼의 미소 ,0.9923513531684875,10,10.0
역시 노트북이다 번봤내 ,0.9304878115653992,10,9.0
너무나 재미 있었음사랑과 인생에 대해 많은 생각을 했응 ,0.9918602108955383,10,10.0
너무 감동적이었습니가 ,0.5368559956550598,10,5.0
짱재밋어요친구랄같이봣네요 ,0.9923413991928101,10,10.0
배경이랑 영화의모든 것이 다이뻐요 ,0.9849556088447571,10,10.0
최고 명작 꼭봐야하는 영화 ,0.992030143737793,10,10.0
인생영화 왜 이제야 봤을까 ,0.9923515915870667,10,10.0
인생 로맨스 영화뻔한 스토리긴하지만 감동적이다 ,0.9924808740615845,10,10.0
꿀잼 꼭봐야함   ,0.9918179512023926,10,10.0
영상 스토리 가 감동적이에요 ,0.9925105571746826,10,10.0
추억이 새록새록 너무나 아름다운 영화 ,0.9918414354324341,9,9.0
오랜만에 느낄수있었던 로맨스 영화였네요 사랑스럽기도 하구요 딸램이가 더  좋아하네요 잘봤습니다 ,0.9920142292976379,10,10.0
영상미 좋고 엘리와 노아의 사랑에도 감탄  엘리가 너무나 부러웠다  ,0.9919829964637756,10,10.0
지인의 권유로 본영화  기슴뭉클한 사랑 이야기 나에게도 기적이 일어나길 ,0.9899489879608154,8,8.0
최고의 감동영화첫사랑은 이루어진다  ,0.9845404028892517,10,10.0
실화여서 여운이 짙은 영화 ,0.9922615885734558,10,10.0
학생때봤을땐 그 둘만의사랑만보였지만이젠 그외의 상처받는사람들까지 보이네요그래도 정말좋은 영화 ,0.9922318458557129,9,9.0
이미 예전에 본 영화지만 그땐 영화관이 아니었습니다 영화관에서 보니 정말  노트북의 매력에 더 빠지게 되더군요 ,0.9302825331687927,10,9.0
여자친구가 너무 좋아하네요 ,0.9924496412277222,8,8.0
잔잔하고 이쁜 영화엿다 ,0.9924535155296326,8,8.0
인연은 언제고 어떻게든 어떤 모습으로든 그사람과 함께 할수 있는 시간을 만들어 주는거 같아요 보는 내내 행복했습니당 ,0.9924528002738953,10,10.0
나무 감동적인 영화 ,0.9243084788322449,10,9.0
재개봉해서 보러갔어요 볼 때 마다 행복한 영화에요 ,0.9920404553413391,10,10.0
감동적입니다 강추 ,0.9924420118331909,10,10.0
보통 결말 보고 좀 찜찜 했습니다 ,0.031017770990729332,8,0.0
뻔한내용이지만 그래서 좋앗어요  ,0.9923689365386963,9,9.0
봤다고 생각했던 영화 ,0.9835776090621948,10,10.0
제 인생영화 입니다 정말 꼭 한번 봐야합니다 ,0.9922210574150085,10,10.0
 재개봉할만한영화입니다 ,0.9805998206138611,8,8.0
이 영화로 남자친구를 만들었어요 ,0.5461726784706116,9,5.0
어떤게사랑인지알려주는작품 ,0.9807603359222412,10,10.0
넘나 지루함 그래도 사랑에 대해 다시한번 생각 해볼 수 있는 영화였음 ,0.7591855525970459,5,4.0
마음깊숙히감동을주는영화 ,0.9920658469200134,10,10.0
영화 재밌고 좋았습니다 ,0.992259681224823,9,9.0
사람이 사랑 앞에서만큼은 이기적이어도 되나봅니다세 아재도 울컥하게 만드는 감동 러브 스토리 ,0.9921405911445618,10,10.0
뜨겁게 사랑을 해보고 싶어지는 영화 ,0.9918287396430969,10,10.0
영화관에서 다시 보니까 너무 좋았습니다 ,0.9922018051147461,10,10.0
잼있음 노아 같은 놈도 없다 ,0.9925123453140259,10,10.0
진짜는 진짜다 역시는 역시다 ,0.9812907576560974,10,10.0
좀더 열심히 사랑해야겠다는 생각이 드네요 ,0.78116375207901,10,8.0
말이필요없다 레이첼너무좋아 ,0.9920946955680847,10,10.0
띵작 옆에있던 친구가 오열함 ,0.846373975276947,10,8.0
조금 재미있었씁니다  ,0.4641225039958954,9,4.0
엄청난 호평에 엄청 기대하고 갔는데 사실 많이 와닿는 영화는 아니었네요 ,0.039321187883615494,8,0.0
인생영화 감동적이고 슬프고 아름답다 이런연애만 할수있으면 좋겠다  ,0.9925234913825989,10,10.0
재밌습니다 감동적입니다 ,0.9923824667930603,9,9.0
또 봐도 여운이 가시질 않네요 많은걸 느끼게 해주는 영화한번쯤은 꼭보세요 ,0.9916185736656189,10,10.0
기대햇던거 만큼 진짜 재밋엇러요 ,0.9920955300331116,10,10.0
이런 사랑한번 해봤으면죽어도 좋다 ,0.6226944923400879,10,6.0
좋은 영화 입니다재밌게 봤어요 ,0.9924350380897522,8,8.0
넘 가슴 따뜻한 영화였습니다 ,0.9919303059577942,10,10.0
년만에 다시봤네요 가을에 잘어울리는 영화입니다 ,0.991584062576294,10,10.0
내 생에 최고의영화 ,0.9669965505599976,10,10.0
그냥 인생영화죽을때까지 평생 소장하고싶은영화 ,0.992460310459137,10,10.0
재밌게봤어요 추천합니다 ,0.9923882484436035,8,8.0
아련한 느낌을 받은 영홥니다 ,0.8000050187110901,10,8.0
영화관에서 오랜만에 울었다 ,0.9912238121032715,9,9.0
늘 봐도 여전한 감동입니다 ,0.9922593235969543,7,7.0
인생 최고의 영화 아름다운 영화입니다 ,0.9922742247581482,10,10.0
관람객 평점을 작성하시면네이버페이 포인트 원을 드립니다 ,0.2524207830429077,8,2.0
추천을 받고 받다 이날 처음 봤다 인물들에게서풋풋하지만 정말 진지하고 열정적인 사랑을 느꼈다 개인적으로는 결말이 너무 급작스럽게 다가와서 약간 당황스럽고 아쉬웠다 그 사랑 자체는 너무도 아름다웠다 사랑을 할 때 이 영화가 생각날 것 같다 ,0.9918395280838013,9,9.0
명화를 사랑하는 사람과 함께봐서 좋았습니다  ,0.9920142292976379,10,10.0
두번째 보는건데 너무 감동적인영화다 ,0.9920521974563599,10,10.0
역대급최고의 영화 내사랑 ,0.9922870397567749,10,10.0
언제봐도 슬프지만 아름다운 영화 ,0.9918711185455322,9,9.0
진정한 사랑은 잊혀지지 않는다 ,0.991253674030304,10,10.0
두번세번봐도 느낌아 다르다 ,0.952584445476532,8,8.0
너무 아름다운 영화에용  ,0.9924529194831848,10,10.0
처음엔 타이타닉처럼 설명으로 내용을전달하는내용이구나생각햇는데 마지막에반전이잇엇어요초대박펑펑움 ,0.9922304749488831,10,10.0
재개봉으로 볼 수 있어서 너무 조아요 ,0.9918450713157654,10,10.0
추천받아서 봤는데 재밌네요 재개봉 할만한듯 ,0.992251455783844,10,10.0
옛날분위기가 이색적으로 다가와서 좋았다 ,0.9920845031738281,8,8.0
뭔가 나에게는 진부한 영화 ,0.016493147239089012,6,0.0
노아같은 사람이 되고싶습니다 ,0.927531898021698,10,9.0
잔잔한 영화를 좋아하는 분들께 추천해요  ,0.9742387533187866,9,9.0
두 남녀의 감동적인 사랑눅구나의 가슴에 갖고있는 꿈같은 사랑 ,0.9921225905418396,10,10.0
시간이 흘러도 변하지 않는 명작 ,0.9921187162399292,10,10.0
감덩  진정한 사랑을 느낌 ,0.9756991863250732,10,10.0
또봐도 따뜻한 영화네요 ,0.9918123483657837,8,8.0
세번째 보는데  감동은 여전하네요 영원한 사랑을 그리고 그런 인생을 살수 있을까최고입니다 ,0.9919629096984863,10,10.0
언제나 봐도 재밌는 노트북  ,0.9915241003036499,10,10.0
몇번을 봐도 항상 감동을 주는 영화 ,0.9918872714042664,10,10.0
재미가이쑈이숏이쇼여자는별로 ,0.5382938385009766,9,5.0
감동적이네요 ,0.9925138354301453,10,10.0
너무 재밌었어요 옆사람 모두 훌쩍훌쩍 ,0.9918227791786194,10,10.0
정말 감동적입니다모처럼 눈시울이 찡하네요 ,0.9918897747993469,10,10.0
잔잔하고 예쁜 사랑 이야기 ,0.9923136830329895,8,8.0
재밌어여 오랫만에봤습니다 ,0.9922972321510315,10,10.0
조아요조아요조아요조아요 ,0.9924375414848328,10,10.0
멜로 로맨스의 정석이다 ,0.9869769215583801,10,10.0
역시 명작 언제봐도 감동적이고 눈물나는스토리 인생영화 ,0.9913962483406067,10,10.0
지루하고 뻔한 스토리 자자 ,0.007632734254002571,6,0.0
